From,To,Distance (m)
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","170A Lâm Văn Bền, KP4,",1799.29
"170A Lâm Văn Bền, KP4,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",1799.29
Cà Phê Long Béo,Bệnh viện Quận 7,1800.57
Bệnh viện Quận 7,Cà Phê Long Béo,1800.57
Chợ Cư xá Ngân hàng,Tạp Hoá Ngọc Hân,1800.63
Tạp Hoá Ngọc Hân,Chợ Cư xá Ngân hàng,1800.63
Trường Tiểu học Nguyễn Văn Hưởng,803/23/10 Huỳnh Tấn Phát,1800.76
803/23/10 Huỳnh Tấn Phát,Trường Tiểu học Nguyễn Văn Hưởng,1800.76
Sunrise Cityview - Sảnh A,불막열삼,1802.05
불막열삼,Sunrise Cityview - Sảnh A,1802.05
McDonald's,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1802.57
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",McDonald's,1802.57
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Mỹ Khang,1802.87
Mỹ Khang,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1802.87
"20/10 đường số 2,",불막열삼,1803.33
불막열삼,"20/10 đường số 2,",1803.33
Hương Sen Spa,McDonald's,1804.54
McDonald's,Hương Sen Spa,1804.54
"163 đường 45,","1489 Nguyễn Văn Linh, Tòa IPC",1805.96
"1489 Nguyễn Văn Linh, Tòa IPC","163 đường 45,",1805.96
"Chung cư mỹ cảnh, đường Phạm Thái Bường,","78B đường số 43, khu phố 4",1807.75
"78B đường số 43, khu phố 4","Chung cư mỹ cảnh, đường Phạm Thái Bường,",1807.75
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1627/50/3a Đường Đào Trí,1811.12
1627/50/3a Đường Đào Trí,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1811.12
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",McDonald's,1811.16
McDonald's,"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1811.16
"163 đường 45,",Tịnh xá Ngọc Quy,1811.76
Tịnh xá Ngọc Quy,"163 đường 45,",1811.76
43 Đường Số 43,Si Cafe,1812.78
Si Cafe,43 Đường Số 43,1812.78
E50 Đường Số 9 Khu Dân Cư Him Lam,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1814.61
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,1814.61
"36A, Đường 81,","55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1815.21
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,","36A, Đường 81,",1815.21
British English Club,Phan Huy Thục,1815.7
Phan Huy Thục,British English Club,1815.7
Nhà Mẫu Phú Mỹ Hưng,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1816.18
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Nhà Mẫu Phú Mỹ Hưng,1816.18
Tân Thuận Tây,"20/10 đường số 2,",1816.32
"20/10 đường số 2,",Tân Thuận Tây,1816.32
"163 đường 45,",E50 Đường Số 9 Khu Dân Cư Him Lam,1817.59
E50 Đường Số 9 Khu Dân Cư Him Lam,"163 đường 45,",1817.59
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",43 Đường Số 43,1822.45
43 Đường Số 43,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1822.45
Nhà Mẫu Phú Mỹ Hưng,À La Main,1823.97
À La Main,Nhà Mẫu Phú Mỹ Hưng,1823.97
Bia Góc,645/51E Đ. Trần Xuân Soạn,1826.09
645/51E Đ. Trần Xuân Soạn,Bia Góc,1826.09
Quán Cơm Tâm Mộc,"170A Lâm Văn Bền, KP4,",1827.45
"170A Lâm Văn Bền, KP4,",Quán Cơm Tâm Mộc,1827.45
Sunrise Cityview - Sảnh A,Hương Sen Spa,1827.5
Hương Sen Spa,Sunrise Cityview - Sảnh A,1827.5
Bệnh viện Quận 7,Quán Ăn An Ký,1827.59
Quán Ăn An Ký,Bệnh viện Quận 7,1827.59
WinMart+,McDonald's,1830.28
McDonald's,WinMart+,1830.28
McDonald's,Quán Rắn Hương Phù Sa,1830.5
Quán Rắn Hương Phù Sa,McDonald's,1830.5
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Nhà Mẫu Phú Mỹ Hưng,1830.68
Nhà Mẫu Phú Mỹ Hưng,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1830.68
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","78B đường số 43, khu phố 4",1831.03
"78B đường số 43, khu phố 4","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",1831.03
Bệnh viện Quận 7,Nhà Thuốc An Khang,1831.26
Nhà Thuốc An Khang,Bệnh viện Quận 7,1831.26
Mai Văn Vĩnh,Trường Quốc tế Nam Sài Gòn,1831.78
Trường Quốc tế Nam Sài Gòn,Mai Văn Vĩnh,1831.78
Parkson,Đầu bến Tân Quy,1832.38
Đầu bến Tân Quy,Parkson,1832.38
Bệnh viện Quận 7,Quán Ăn An Ký,1832.78
Quán Ăn An Ký,Bệnh viện Quận 7,1832.78
"803/23/10 Huỳnh Tấn Phát,",Saigon Riverside Complex,1833.21
Saigon Riverside Complex,"803/23/10 Huỳnh Tấn Phát,",1833.21
호치민 지구촌 교회,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1834.52
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",호치민 지구촌 교회,1834.52
British English Club,Chợ Cư xá Ngân hàng,1835.45
Chợ Cư xá Ngân hàng,British English Club,1835.45
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Circle K,1836.02
Circle K,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1836.02
Nhà Mẫu Phú Mỹ Hưng,541 Huỳnh Tấn Phát,1836.14
541 Huỳnh Tấn Phát,Nhà Mẫu Phú Mỹ Hưng,1836.14
803/23/10 Huỳnh Tấn Phát,Saigon Riverside Complex,1836.17
Saigon Riverside Complex,803/23/10 Huỳnh Tấn Phát,1836.17
"KC 52/13 HUYNH TAN PHAT KP3,","Toà nhà FPT đường số 8,",1839.35
"Toà nhà FPT đường số 8,","KC 52/13 HUYNH TAN PHAT KP3,",1839.35
Chợ Cư xá Ngân hàng,Thiên Sơn Plaza,1840.42
Thiên Sơn Plaza,Chợ Cư xá Ngân hàng,1840.42
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,","B4 Era Town, đường 15B,",1840.79
"B4 Era Town, đường 15B,","Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",1840.79
Quận 7,"78B đường số 43, khu phố 4",1841.13
"78B đường số 43, khu phố 4",Quận 7,1841.13
Cà Phê Long Béo,Bệnh viện Quận 7,1841.77
Bệnh viện Quận 7,Cà Phê Long Béo,1841.77
645/51E Đ. Trần Xuân Soạn,Đại học Cảnh sát,1843.58
Đại học Cảnh sát,645/51E Đ. Trần Xuân Soạn,1843.58
Sunrise Cityview - Sảnh A,Trung Tâm Mua Sắm Vivo City,1843.67
Trung Tâm Mua Sắm Vivo City,Sunrise Cityview - Sảnh A,1843.67
"KC 52/13 HUYNH TAN PHAT KP3,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",1844.31
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","KC 52/13 HUYNH TAN PHAT KP3,",1844.31
Tân Thuận Tây,Phan Huy Thục,1845.71
Phan Huy Thục,Tân Thuận Tây,1845.71
Quán Cơm Tâm Mộc,"78B đường số 43, khu phố 4",1845.75
"78B đường số 43, khu phố 4",Quán Cơm Tâm Mộc,1845.75
Quán Cơm Tâm Mộc,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1847.38
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Quán Cơm Tâm Mộc,1847.38
Bệnh viện Quận 7,Nhà Thuốc An Khang,1849.18
Nhà Thuốc An Khang,Bệnh viện Quận 7,1849.18
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,","08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1849.7
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,","Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1849.7
Mỹ Khang,McDonald's,1849.81
Hương Sen Spa,"20/10 đường số 2,",1849.81
McDonald's,Mỹ Khang,1849.81
"20/10 đường số 2,",Hương Sen Spa,1849.81
Mai Văn Vĩnh,Quận 7,1851.31
Quận 7,Mai Văn Vĩnh,1851.31
645/51E Đ. Trần Xuân Soạn,Đầu bến Tân Quy,1851.72
Đầu bến Tân Quy,645/51E Đ. Trần Xuân Soạn,1851.72
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",불막열삼,1851.76
불막열삼,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1851.76
803/23/10 Huỳnh Tấn Phát,"35/4 Hẻm 39 Đường Bùi Văn Ba,",1853.88
"35/4 Hẻm 39 Đường Bùi Văn Ba,",803/23/10 Huỳnh Tấn Phát,1853.88
Mỹ Khang,Boutique Charmés,1854.24
Boutique Charmés,Mỹ Khang,1854.24
Mai Văn Vĩnh,Cửa hàng Chuồn chuồn Đỏ,1854.48
Cửa hàng Chuồn chuồn Đỏ,Mai Văn Vĩnh,1854.48
WinMart+,Trường Quốc tế Nam Sài Gòn,1855.15
Trường Quốc tế Nam Sài Gòn,WinMart+,1855.15
Bia Góc,McDonald's,1857.33
McDonald's,Bia Góc,1857.33
"803/23/10 Huỳnh Tấn Phát,","35/4 Hẻm 39 Đường Bùi Văn Ba,",1857.5
"35/4 Hẻm 39 Đường Bùi Văn Ba,","803/23/10 Huỳnh Tấn Phát,",1857.5
Hà Huy Tập,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1858.17
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Hà Huy Tập,1858.17
Hỷ Lạc Bánh Mì Chay,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",1859.9
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",Hỷ Lạc Bánh Mì Chay,1859.9
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",Parkson,1861.16
Parkson,"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1861.16
Siêu Thị K-Market,"170A Lâm Văn Bền, KP4,",1861.27
"170A Lâm Văn Bền, KP4,",Siêu Thị K-Market,1861.27
"Tòa Nhà Xưởng B,","KC 52/13 HUYNH TAN PHAT KP3,",1862.15
"KC 52/13 HUYNH TAN PHAT KP3,","Tòa Nhà Xưởng B,",1862.15
Mai Văn Vĩnh,541 Huỳnh Tấn Phát,1863.26
541 Huỳnh Tấn Phát,Mai Văn Vĩnh,1863.26
Tịnh xá Ngọc Quy,Cầu Kênh Tẻ,1863.33
Cầu Kênh Tẻ,Tịnh xá Ngọc Quy,1863.33
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,","B4 Era Town, đường 15B,",1863.37
"B4 Era Town, đường 15B,","Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",1863.37
"163 đường 45,","KC 52/13 HUYNH TAN PHAT KP3,",1863.77
"KC 52/13 HUYNH TAN PHAT KP3,","163 đường 45,",1863.77
Đại học Cảnh sát,"78B đường số 43, khu phố 4",1863.87
"78B đường số 43, khu phố 4",Đại học Cảnh sát,1863.87
Nhà Mẫu Phú Mỹ Hưng,Chè Thiên Đường,1864.28
Chè Thiên Đường,Nhà Mẫu Phú Mỹ Hưng,1864.28
Nguyễn Thị Thập,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1864.99
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Nguyễn Thị Thập,1864.99
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","78B đường số 43, khu phố 4",1865.61
"78B đường số 43, khu phố 4","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",1865.61
Hương Sen Spa,E50 Đường Số 9 Khu Dân Cư Him Lam,1866.49
E50 Đường Số 9 Khu Dân Cư Him Lam,Hương Sen Spa,1866.49
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Thiên Sơn Plaza,1867.95
Thiên Sơn Plaza,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1867.95
Bệnh viện Quận 7,"KC 52/13 HUYNH TAN PHAT KP3,",1868.31
"KC 52/13 HUYNH TAN PHAT KP3,",Bệnh viện Quận 7,1868.31
Quán Cơm Tâm Mộc,43 Đường Số 43,1868.99
43 Đường Số 43,Quán Cơm Tâm Mộc,1868.99
Nhà Mẫu Phú Mỹ Hưng,Trường Quốc tế Nam Sài Gòn,1869.28
Trường Quốc tế Nam Sài Gòn,Nhà Mẫu Phú Mỹ Hưng,1869.28
Siêu Thị K-Market,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1870.93
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Siêu Thị K-Market,1870.93
"163 đường 45,","block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1872.0
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","163 đường 45,",1872.0
E50 Đường Số 9 Khu Dân Cư Him Lam,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1872.97
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,1872.97
British English Club,E50 Đường Số 9 Khu Dân Cư Him Lam,1873.14
E50 Đường Số 9 Khu Dân Cư Him Lam,British English Club,1873.14
Nguyễn Văn Linh,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1873.4
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Nguyễn Văn Linh,1873.4
"6/57 Trần Văn Khánh,","Toà nhà FPT đường số 8,",1875.63
"Toà nhà FPT đường số 8,","6/57 Trần Văn Khánh,",1875.63
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1877.13
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,","block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1877.13
Circle K,호치민 지구촌 교회,1877.67
호치민 지구촌 교회,Circle K,1877.67
WinMart+,Circle K,1877.85
Circle K,WinMart+,1877.85
WinMart+,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1878.44
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",WinMart+,1878.44
E50 Đường Số 9 Khu Dân Cư Him Lam,불막열삼,1878.77
불막열삼,E50 Đường Số 9 Khu Dân Cư Him Lam,1878.77
Bia Góc,Circle K,1878.84
Circle K,Bia Góc,1878.84
"67 Mai Văn Vĩnh,",Trường Quốc tế Nam Sài Gòn,1882.18
Trường Quốc tế Nam Sài Gòn,"67 Mai Văn Vĩnh,",1882.18
"36A, Đường 81,",Công viên Mỹ Kim,1883.43
Công viên Mỹ Kim,"36A, Đường 81,",1883.43
Siêu Thị K-Market,"78B đường số 43, khu phố 4",1883.56
"78B đường số 43, khu phố 4",Siêu Thị K-Market,1883.56
Bệnh viện Quận 7,불막열삼,1883.94
불막열삼,Bệnh viện Quận 7,1883.94
E50 Đường Số 9 Khu Dân Cư Him Lam,"1489 Nguyễn Văn Linh, Tòa IPC",1884.23
"1489 Nguyễn Văn Linh, Tòa IPC",E50 Đường Số 9 Khu Dân Cư Him Lam,1884.23
"163 đường 45,",Circle K,1884.34
Circle K,"163 đường 45,",1884.34
Nhà Mẫu Phú Mỹ Hưng,"67 Mai Văn Vĩnh,",1884.93
"67 Mai Văn Vĩnh,",Nhà Mẫu Phú Mỹ Hưng,1884.93
Nhà Thuốc An Khang,"20/10 đường số 2,",1885.1
"20/10 đường số 2,",Nhà Thuốc An Khang,1885.1
Hà Huy Tập,"170A Lâm Văn Bền, KP4,",1886.5
"170A Lâm Văn Bền, KP4,",Hà Huy Tập,1886.5
Nguyễn Thị Thập,"KC 52/13 HUYNH TAN PHAT KP3,",1887.36
"KC 52/13 HUYNH TAN PHAT KP3,",Nguyễn Thị Thập,1887.36
McDonald's,호치민 지구촌 교회,1887.38
호치민 지구촌 교회,McDonald's,1887.38
541 Huỳnh Tấn Phát,2/2 Đường Số 79,1887.49
2/2 Đường Số 79,541 Huỳnh Tấn Phát,1887.49
Cầu Kênh Tẻ,불막열삼,1887.68
불막열삼,Cầu Kênh Tẻ,1887.68
WinMart+,Tân Thuận Tây,1888.69
Tân Thuận Tây,WinMart+,1888.69
Quán Rắn Hương Phù Sa,Circle K,1889.44
Circle K,Quán Rắn Hương Phù Sa,1889.44
British English Club,Him Lam Riverside,1890.66
Him Lam Riverside,British English Club,1890.66
Katinat,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1892.35
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Katinat,1892.35
Đại Lý Sơn Nuớc Trường Đạt,Thiên Sơn Plaza,1893.39
Thiên Sơn Plaza,Đại Lý Sơn Nuớc Trường Đạt,1893.39
Đầu bến Tân Quy,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1894.37
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Đầu bến Tân Quy,1894.37
"67 Mai Văn Vĩnh,",Cửa hàng Chuồn chuồn Đỏ,1895.43
Cửa hàng Chuồn chuồn Đỏ,"67 Mai Văn Vĩnh,",1895.43
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Circle K,1896.35
Circle K,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1896.35
Chợ Cư xá Ngân hàng,Quận 7,1896.46
Quận 7,Chợ Cư xá Ngân hàng,1896.46
2/2 Đường Số 79,Him Lam Riverside,1897.11
Him Lam Riverside,2/2 Đường Số 79,1897.11
Boutique Charmés,Mầm non Ban Mai,1897.94
Mầm non Ban Mai,Boutique Charmés,1897.94
Mai Văn Vĩnh,Nhà Mẫu Phú Mỹ Hưng,1899.35
Nhà Mẫu Phú Mỹ Hưng,Mai Văn Vĩnh,1899.35
McDonald's,Tạp Hoá Ngọc Hân,1899.74
Tạp Hoá Ngọc Hân,McDonald's,1899.74
Bệnh viện Quận 7,Si Cafe,1899.93
Si Cafe,Bệnh viện Quận 7,1899.93
Sunrise Cityview - Sảnh A,Nhà Thuốc An Khang,1900.0
Nhà Thuốc An Khang,Sunrise Cityview - Sảnh A,1900.0
Hỷ Lạc Bánh Mì Chay,"20/10 đường số 2,",1900.01
"20/10 đường số 2,",Hỷ Lạc Bánh Mì Chay,1900.01
"36A, Đường 81,","1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",1900.66
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,","36A, Đường 81,",1900.66
Parkson,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",1901.05
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",Parkson,1901.05
"6/57 Trần Văn Khánh,","Tòa Nhà Xưởng B,",1902.62
"Tòa Nhà Xưởng B,","6/57 Trần Văn Khánh,",1902.62
Hương Sen Spa,Him Lam Riverside,1903.83
Him Lam Riverside,Hương Sen Spa,1903.83
645/51E Đ. Trần Xuân Soạn,"78B đường số 43, khu phố 4",1903.92
"78B đường số 43, khu phố 4",645/51E Đ. Trần Xuân Soạn,1903.92
Trường Tiểu học Nguyễn Văn Hưởng,Circle K,1904.1
Circle K,Trường Tiểu học Nguyễn Văn Hưởng,1904.1
43 Đường Số 43,Siêu Thị K-Market,1904.32
Siêu Thị K-Market,43 Đường Số 43,1904.32
Bệnh viện Quận 7,불막열삼,1905.16
